GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mjw01,com.gstgroup.cn,DemoServlet,50,20,4,2,15,6,5,4,2,4
mjw01,com.gstgroup.cn,App,9,2,0,0,4,1,3,1,3,1
